# center_x	center_y	half_width	half_height
8550	26875	450	625
7950	9375	450	625
5850	131875	450	625
5850	39375	450	625
4350	75625	450	625
5850	18125	450	625
7650	78125	450	625
4350	38125	450	625
6150	43125	450	625
5850	134375	450	625
4650	9375	450	625
5850	83125	450	625
5850	149375	450	625
5850	625	450	625
6150	59375	450	625
5250	1875	450	625
4050	134375	450	625
5850	123125	450	625
5850	106875	450	625
6450	36875	450	625
5850	33125	450	625
6150	96875	450	625
6150	136875	450	625
7350	90625	450	625
4650	93125	450	625
4650	8125	450	625
4050	88125	450	625
6150	28125	450	625
6750	88125	450	625
6150	48125	450	625
6150	16875	450	625
6150	140625	450	625
5850	10625	450	625
6450	90625	450	625
6150	121875	450	625
6450	8125	450	625
1650	136875	450	625
6150	128125	450	625
6150	139375	450	625
2550	123125	450	625
6150	45625	450	625
6150	69375	450	625
6150	19375	450	625
6150	108125	450	625
4350	73125	450	625
6150	85625	450	625
6150	1875	450	625
6150	109375	450	625
4950	39375	450	625
6450	11875	450	625
6450	146875	450	625
7650	83125	450	625
6450	79375	450	625
7650	39375	450	625
32250	140625	450	625
6450	113125	450	625
7350	73125	450	625
7050	139375	450	625
6450	89375	450	625
6450	118125	450	625
6450	35625	450	625
7050	108125	450	625
6450	60625	450	625
6450	55625	450	625
4950	13125	450	625
6450	144375	450	625
6450	73125	450	625
6450	95625	450	625
6750	76875	450	625
5250	28125	450	625
6450	100625	450	625
3150	60625	450	625
4950	134375	450	625
6450	64375	450	625
6750	33125	450	625
6750	38125	450	625
6750	133125	450	625
2550	136875	450	625
6750	26875	450	625
6750	143125	450	625
7650	13125	450	625
9450	136875	450	625
6750	39375	450	625
6750	23125	450	625
6750	78125	450	625
4650	113125	450	625
6750	71875	450	625
4950	123125	450	625
7050	45625	450	625
7650	133125	450	625
4350	136875	450	625
6750	104375	450	625
6750	94375	450	625
6750	13125	450	625
6750	83125	450	625
9750	60625	450	625
6750	68125	450	625
5250	96875	450	625
3450	55625	450	625
6750	10625	450	625
6750	115625	450	625
5250	136875	450	625
6750	58125	450	625
1050	33125	450	625
5550	113125	450	625
7050	69375	450	625
7050	9375	450	625
7050	70625	450	625
7650	94375	450	625
7650	26875	450	625
750	140625	450	625
7050	625	450	625
7050	86875	450	625
7050	148125	450	625
2550	140625	450	625
1950	33125	450	625
7050	134375	450	625
7050	50625	450	625
750	11875	450	625
5850	143125	450	625
3450	146875	450	625
5550	55625	450	625
7050	91875	450	625
7650	58125	450	625
7650	23125	450	625
7050	41875	450	625
2550	11875	450	625
7050	103125	450	625
7050	3125	450	625
7050	4375	450	625
7350	149375	450	625
7350	1875	450	625
4950	104375	450	625
7350	93125	450	625
7350	63125	450	625
7350	16875	450	625
7350	75625	450	625
7350	98125	450	625
1950	41875	450	625
7350	43125	450	625
7350	25625	450	625
7350	48125	450	625
25650	50625	450	625
7350	131875	450	625
4050	149375	450	625
9750	123125	450	625
1950	50625	450	625
7350	85625	450	625
7350	8125	450	625
3450	11875	450	625
7350	18125	450	625
7350	30625	450	625
7650	100625	450	625
7050	123125	450	625
7650	24375	450	625
7650	136875	450	625
7650	96875	450	625
9150	3125	450	625
6450	93125	450	625
10950	63125	450	625
7650	46875	450	625
8550	136875	450	625
7650	59375	450	625
7650	55625	450	625
7650	40625	450	625
7650	56875	450	625
7650	76875	450	625
7650	88125	450	625
7650	111875	450	625
4350	4375	450	625
5550	11875	450	625
7650	53125	450	625
7650	118125	450	625
7650	126875	450	625
7650	6875	450	625
7350	11875	450	625
7950	110625	450	625
4050	53125	450	625
7950	143125	450	625
8550	59375	450	625
7950	119375	450	625
7950	108125	450	625
7950	138125	450	625
7950	15625	450	625
6150	4375	450	625
7950	81875	450	625
7950	49375	450	625
6750	40625	450	625
7950	128125	450	625
7950	60625	450	625
1350	18125	450	625
7950	135625	450	625
8250	93125	450	625
6750	56875	450	625
8850	110625	450	625
7950	124375	450	625
7950	116875	450	625
8250	64375	450	625
8250	140625	450	625
8250	30625	450	625
5250	140625	450	625
8250	113125	450	625
8250	41875	450	625
8250	3125	450	625
7950	123125	450	625
8250	65625	450	625
6150	41875	450	625
8550	88125	450	625
8250	125625	450	625
8250	29375	450	625
8850	60625	450	625
5850	53125	450	625
4650	118125	450	625
8250	134375	450	625
8550	111875	450	625
8250	105625	450	625
8250	86875	450	625
8250	120625	450	625
8250	71875	450	625
8550	33125	450	625
8550	70625	450	625
8550	85625	450	625
8550	94375	450	625
9450	85625	450	625
8550	61875	450	625
9150	29375	450	625
8550	131875	450	625
8550	19375	450	625
8550	51875	450	625
7050	49375	450	625
8550	28125	450	625
8550	46875	450	625
8550	148125	450	625
5550	118125	450	625
8850	116875	450	625
8850	123125	450	625
8850	69375	450	625
8850	75625	450	625
8850	119375	450	625
8850	49375	450	625
7350	140625	450	625
7650	33125	450	625
46950	116875	450	625
8850	96875	450	625
9450	19375	450	625
8850	100625	450	625
20850	100625	450	625
8850	36875	450	625
6750	53125	450	625
8850	39375	450	625
8850	58125	450	625
8850	8125	450	625
8850	9375	450	625
8850	53125	450	625
18150	100625	450	625
8850	81875	450	625
8850	95625	450	625
8850	68125	450	625
8850	101875	450	625
10950	68125	450	625
8850	55625	450	625
8850	44375	450	625
7050	81875	450	625
8850	4375	450	625
8550	118125	450	625
4650	100625	450	625
6450	75625	450	625
9150	133125	450	625
9150	31875	450	625
9150	625	450	625
9150	113125	450	625
9150	139375	450	625
9150	143125	450	625
9150	134375	450	625
42750	116875	450	625
9750	44375	450	625
9150	98125	450	625
9450	148125	450	625
6750	46875	450	625
9150	99375	450	625
7350	113125	450	625
9150	129375	450	625
9150	90625	450	625
9150	5625	450	625
9150	56875	450	625
9150	146875	450	625
7350	31875	450	625
9750	96875	450	625
9150	6875	450	625
39750	116875	450	625
7650	28125	450	625
9150	126875	450	625
9150	63125	450	625
9150	64375	450	625
8250	31875	450	625
10050	139375	450	625
9150	30625	450	625
9150	21875	450	625
9150	40625	450	625
7950	68125	450	625
10950	46875	450	625
9450	130625	450	625
9450	50625	450	625
9450	141875	450	625
9450	118125	450	625
7950	36875	450	625
9450	115625	450	625
9450	83125	450	625
9450	106875	450	625
9450	18125	450	625
3750	50625	450	625
9450	140625	450	625
9450	120625	450	625
8250	63125	450	625
9450	78125	450	625
9450	79375	450	625
9450	43125	450	625
9450	26875	450	625
9450	1875	450	625
10050	40625	450	625
9450	74375	450	625
9750	121875	450	625
9750	101875	450	625
9750	144375	450	625
9750	138125	450	625
9750	24375	450	625
9750	45625	450	625
9750	145625	450	625
9750	135625	450	625
6150	50625	450	625
9750	104375	450	625
10350	115625	450	625
9750	10625	450	625
9750	54375	450	625
9750	81875	450	625
9750	39375	450	625
9750	124375	450	625
9750	49375	450	625
9750	93125	450	625
9750	13125	450	625
9750	25625	450	625
10650	39375	450	625
9750	4375	450	625
9750	48125	450	625
9750	109375	450	625
7950	10625	450	625
3150	141875	450	625
9750	119375	450	625
10050	35625	450	625
10050	68125	450	625
10050	46875	450	625
10050	113125	450	625
4950	141875	450	625
10650	49375	450	625
10050	34375	450	625
10050	16875	450	625
10050	11875	450	625
10050	98125	450	625
10050	63125	450	625
10650	124375	450	625
10050	65625	450	625
10050	14375	450	625
10050	33125	450	625
10050	114375	450	625
10050	6875	450	625
9750	36875	450	625
10050	23125	450	625
10050	91875	450	625
10050	105625	450	625
10650	48125	450	625
10050	95625	450	625
10050	15625	450	625
10050	41875	450	625
10050	21875	450	625
10050	149375	450	625
10050	53125	450	625
7950	4375	450	625
10950	15625	450	625
10050	28125	450	625
10050	94375	450	625
8550	43125	450	625
10050	56875	450	625
8850	10625	450	625
10350	18125	450	625
10350	9375	450	625
9150	41875	450	625
10350	55625	450	625
10950	34375	450	625
10350	1875	450	625
42750	95625	450	625
8250	11875	450	625
10650	144375	450	625
23550	101875	450	625
10950	113125	450	625
12750	81875	450	625
8850	138125	450	625
10950	65625	450	625
10350	69375	450	625
6450	98125	450	625
10350	99375	450	625
10650	145625	450	625
10350	84375	450	625
10950	114375	450	625
10350	66875	450	625
10350	103125	450	625
2250	18125	450	625
10350	148125	450	625
10350	58125	450	625
11850	81875	450	625
8250	21875	450	625
10950	28125	450	625
8250	98125	450	625
10650	109375	450	625
10650	133125	450	625
8250	16875	450	625
10650	625	450	625
10650	51875	450	625
10650	25625	450	625
10650	89375	450	625
11850	4375	450	625
9750	51875	450	625
4950	149375	450	625
10650	146875	450	625
10650	43125	450	625
10650	130625	450	625
10650	128125	450	625
10650	36875	450	625
10650	19375	450	625
4350	101875	450	625
10650	60625	450	625
10650	31875	450	625
10650	73125	450	625
8250	35625	450	625
12150	1875	450	625
10650	136875	450	625
10650	116875	450	625
10650	59375	450	625
10650	104375	450	625
10950	126875	450	625
10950	10625	450	625
11550	25625	450	625
12450	59375	450	625
10950	81875	450	625
10950	54375	450	625
10950	86875	450	625
9450	84375	450	625
10950	83125	450	625
5550	146875	450	625
9750	59375	450	625
10950	125625	450	625
10950	50625	450	625
12450	9375	450	625
13950	69375	450	625
10950	100625	450	625
10950	4375	450	625
5250	86875	450	625
9150	11875	450	625
7050	128125	450	625
10950	14375	450	625
10950	98125	450	625
19650	18125	450	625
10950	75625	450	625
8850	54375	450	625
11250	91875	450	625
11250	105625	450	625
38850	116875	450	625
11250	1875	450	625
11250	69375	450	625
11250	61875	450	625
11550	59375	450	625
14850	75625	450	625
11250	74375	450	625
11250	79375	450	625
11250	111875	450	625
11250	138125	450	625
10050	75625	450	625
11250	38125	450	625
7350	146875	450	625
5850	104375	450	625
11250	20625	450	625
11250	95625	450	625
11250	135625	450	625
6150	86875	450	625
8850	128125	450	625
11550	51875	450	625
8250	149375	450	625
4350	116875	450	625
8850	73125	450	625
11250	5625	450	625
11550	8125	450	625
11550	53125	450	625
