# center_x	center_y	half_width	half_height
354010	7758	450	625
281851	53625	450	625
214197	102710	450	625
268246	3586	450	625
196285	56926	450	625
160044	55741	450	625
268482	73949	450	625
116315	44899	450	625
97485	12944	450	625
367927	39880	450	625
5452	37736	450	625
410608	108281	450	625
209877	97930	450	625
134222	51961	450	625
289029	45700	450	625
179115	30816	450	625
21758	113591	450	625
22142	39832	450	625
17853	95413	450	625
242718	1163	450	625
53792	16388	450	625
430204	23799	450	625
5537	72297	450	625
7350	18747	450	625
376993	7502	450	625
36280	78570	450	625
445590	66265	450	625
296204	83992	450	625
374647	39551	450	625
223105	28354	450	625
115652	4445	450	625
434570	61587	450	625
427188	66489	450	625
437572	28366	450	625
311103	140067	450	625
223181	8272	450	625
210907	9311	450	625
251171	19070	450	625
327760	95998	450	625
340969	11478	450	625
219152	13426	450	625
193701	143967	450	625
430844	121530	450	625
426711	88516	450	625
26833	57942	450	625
139522	90962	450	625
158539	98918	450	625
344102	97405	450	625
137307	98599	450	625
158623	99587	450	625
132318	-70	450	625
398659	89151	450	625
141693	62807	450	625
123673	86078	450	625
36205	141267	450	625
280708	34582	450	625
427246	104586	450	625
26601	79015	450	625
92168	100538	450	625
312583	81227	450	625
209632	50783	450	625
304341	137848	450	625
132701	18768	450	625
81753	87385	450	625
79119	55054	450	625
303773	50063	450	625
186184	67109	450	625
97314	137702	450	625
22617	19712	450	625
361332	60999	450	625
249631	15365	450	625
357034	82054	450	625
244304	118760	450	625
205321	40097	450	625
400950	22630	450	625
19476	71807	450	625
76513	138143	450	625
106608	145991	450	625
57411	138938	450	625
64576	118908	450	625
14092	42026	450	625
369471	99501	450	625
198636	8110	450	625
92155	11330	450	625
251774	4412	450	625
322929	33430	450	625
202030	90788	450	625
284785	134959	450	625
148749	48831	450	625
346808	122876	450	625
114513	141010	450	625
288136	140103	450	625
232753	98369	450	625
6946	57741	450	625
147107	141148	450	625
12049	131225	450	625
25226	117897	450	625
361626	136939	450	625
412307	11359	450	625
30469	76706	450	625
13771	71124	450	625
271989	109026	450	625
139864	148499	450	625
226137	65490	450	625
153382	113071	450	625
423667	113421	450	625
45733	4728	450	625
44276	76663	450	625
191697	83048	450	625
154004	112681	450	625
144248	83331	450	625
64006	101399	450	625
132928	96310	450	625
436191	99513	450	625
7269	8285	450	625
337171	46317	450	625
384061	130985	450	625
279696	85951	450	625
272436	93358	450	625
397893	20244	450	625
185281	112085	450	625
257717	3939	450	625
182365	2970	450	625
73502	64539	450	625
374718	137884	450	625
298221	4243	450	625
436415	42804	450	625
273795	44120	450	625
394566	38011	450	625
263785	91412	450	625
261796	13882	450	625
8230	120935	450	625
316619	65351	450	625
297638	118381	450	625
357761	52356	450	625
121377	59168	450	625
166094	38671	450	625
316707	47636	450	625
287793	144835	450	625
307876	50537	450	625
181719	61674	450	625
309332	125611	450	625
96178	5052	450	625
315331	88222	450	625
378263	85642	450	625
20434	12237	450	625
286576	89641	450	625
413772	89020	450	625
359444	34087	450	625
298753	7731	450	625
77295	112407	450	625
345399	17266	450	625
405930	52883	450	625
177203	37349	450	625
158818	27604	450	625
5238	102114	450	625
219030	137895	450	625
86525	38385	450	625
440348	19134	450	625
391307	36536	450	625
108828	78519	450	625
129025	121281	450	625
25760	26574	450	625
105101	95430	450	625
382061	111732	450	625
187561	142334	450	625
430691	92937	450	625
288100	69247	450	625
322920	75028	450	625
157996	115816	450	625
56884	117359	450	625
407630	36539	450	625
20454	67333	450	625
155125	19879	450	625
23867	124409	450	625
385916	35872	450	625
86028	100418	450	625
113453	143366	450	625
185593	139731	450	625
82348	38179	450	625
207763	35986	450	625
133513	19032	450	625
388223	112391	450	625
124079	47020	450	625
450919	117752	450	625
320736	134681	450	625
9311	2444	450	625
347720	112042	450	625
350377	18422	450	625
97274	79121	450	625
198484	32967	450	625
113645	118037	450	625
125985	44423	450	625
439155	110903	450	625
31006	43628	450	625
443235	129647	450	625
355414	23625	450	625
5079	131414	450	625
126216	87483	450	625
125135	95713	450	625
432735	113548	450	625
212794	62023	450	625
302092	101539	450	625
78517	108646	450	625
191214	16	450	625
175919	107423	450	625
244335	147389	450	625
238212	89246	450	625
80664	102645	450	625
224549	69996	450	625
305373	43261	450	625
371943	148765	450	625
372387	48247	450	625
74779	53428	450	625
70182	7939	450	625
182241	113242	450	625
231140	1212	450	625
72817	9757	450	625
83404	43359	450	625
313556	67343	450	625
348628	200	450	625
228318	71588	450	625
343042	94255	450	625
48434	105783	450	625
250400	133261	450	625
99379	115451	450	625
68622	147699	450	625
344416	15686	450	625
412346	93720	450	625
67467	103953	450	625
183112	62885	450	625
91947	67777	450	625
230098	86489	450	625
53986	89727	450	625
337601	112919	450	625
152122	17854	450	625
442372	25865	450	625
385694	105339	450	625
410972	94906	450	625
315622	11050	450	625
292467	8579	450	625
345001	26366	450	625
14178	12394	450	625
408805	124502	450	625
215114	106397	450	625
36907	52403	450	625
289982	61432	450	625
397832	5657	450	625
315121	42344	450	625
397584	122399	450	625
383363	24731	450	625
9305	40660	450	625
36648	74325	450	625
260151	15346	450	625
393131	51151	450	625
215496	19075	450	625
118630	75774	450	625
195893	138885	450	625
377768	82723	450	625
166039	117159	450	625
187472	107624	450	625
140315	52432	450	625
374656	134372	450	625
125389	89254	450	625
96468	76351	450	625
12854	104257	450	625
179182	124184	450	625
412069	146908	450	625
417309	135546	450	625
227454	140017	450	625
354497	111527	450	625
187744	18704	450	625
152653	49163	450	625
212641	120098	450	625
94838	36758	450	625
272509	15036	450	625
166982	100849	450	625
323768	13363	450	625
57474	48434	450	625
337917	105967	450	625
99985	86548	450	625
176424	148745	450	625
394433	127419	450	625
80353	30919	450	625
367217	7232	450	625
313889	143691	450	625
336111	24058	450	625
344047	89	450	625
449273	86365	450	625
125687	49737	450	625
63223	51473	450	625
390425	118030	450	625
375023	127470	450	625
335845	9222	450	625
291204	78640	450	625
129089	72967	450	625
152388	97691	450	625
255712	148198	450	625
21862	66690	450	625
28918	31504	450	625
207874	44084	450	625
238647	37310	450	625
408442	31619	450	625
139251	64241	450	625
245884	2215	450	625
50830	13385	450	625
248488	23380	450	625
103315	128888	450	625
283302	107438	450	625
162510	20783	450	625
240778	25577	450	625
93550	123543	450	625
182468	87739	450	625
67842	120655	450	625
249329	72537	450	625
157411	72980	450	625
24921	93735	450	625
129042	107640	450	625
85254	142918	450	625
397581	15615	450	625
118585	130488	450	625
225600	121699	450	625
17520	83293	450	625
97087	149347	450	625
353431	10375	450	625
439331	149086	450	625
136552	36158	450	625
115229	82097	450	625
9998	15448	450	625
108704	50604	450	625
344037	48940	450	625
301885	49235	450	625
226175	78504	450	625
387676	40306	450	625
284575	28682	450	625
249273	60585	450	625
361523	80151	450	625
334236	7068	450	625
389144	126901	450	625
222516	126452	450	625
276276	98824	450	625
28490	96105	450	625
343934	91596	450	625
317202	31157	450	625
369645	2631	450	625
198614	39659	450	625
256023	49976	450	625
210495	38875	450	625
59280	96296	450	625
400333	122180	450	625
32430	130331	450	625
289666	128778	450	625
252334	59079	450	625
315647	146203	450	625
183080	64540	450	625
54407	23181	450	625
349216	91622	450	625
38	142975	450	625
248119	69765	450	625
153585	62541	450	625
307148	100524	450	625
23152	40948	450	625
416700	113972	450	625
194575	51257	450	625
395820	3633	450	625
383838	101628	450	625
351017	128481	450	625
407558	38476	450	625
425260	60282	450	625
351332	73466	450	625
389222	764	450	625
174199	60463	450	625
52639	60563	450	625
80591	120235	450	625
55480	71601	450	625
67728	119706	450	625
129025	129605	450	625
75006	94902	450	625
346030	85107	450	625
170911	69627	450	625
428492	13626	450	625
319307	67334	450	625
356107	95691	450	625
10511	101945	450	625
120425	62768	450	625
60063	53073	450	625
331584	116687	450	625
354588	72900	450	625
430002	11004	450	625
270335	73960	450	625
212005	69940	450	625
433466	27007	450	625
450446	48349	450	625
35961	137153	450	625
342056	34450	450	625
230032	145074	450	625
346976	72065	450	625
199060	40709	450	625
382708	90496	450	625
133454	17758	450	625
135416	12094	450	625
119283	133778	450	625
449281	28997	450	625
436578	61	450	625
15553	21491	450	625
35121	117836	450	625
172831	39964	450	625
175295	63254	450	625
104913	33134	450	625
111459	144647	450	625
3484	101217	450	625
345373	116785	450	625
454834	45558	450	625
160046	35067	450	625
318007	144777	450	625
447177	55700	450	625
72371	118886	450	625
69630	136178	450	625
146835	17834	450	625
49939	104865	450	625
340977	133137	450	625
432801	53633	450	625
139001	61574	450	625
264940	33691	450	625
404708	11324	450	625
276238	12817	450	625
281893	11488	450	625
322654	130452	450	625
272547	131726	450	625
223271	37731	450	625
340203	62974	450	625
171831	133300	450	625
343412	55187	450	625
40730	96124	450	625
311673	99746	450	625
237989	29327	450	625
218583	45368	450	625
294312	105909	450	625
428094	44477	450	625
186852	124527	450	625
20802	90216	450	625
347496	12972	450	625
212556	33327	450	625
145925	81628	450	625
259353	2973	450	625
203511	141482	450	625
167499	57420	450	625
118634	92436	450	625
180807	87689	450	625
129012	30257	450	625
271535	83579	450	625
272984	120243	450	625
186999	65421	450	625
411704	80518	450	625
233051	59781	450	625
96897	10330	450	625
168149	108770	450	625
141902	96331	450	625
242397	17252	450	625
429811	7076	450	625
221026	63700	450	625
207810	9050	450	625
136520	117369	450	625
5939	6004	450	625
49810	56428	450	625
395161	14170	450	625
87307	18722	450	625
375465	41231	450	625
363295	126946	450	625
453401	111023	450	625
34727	20823	450	625
435553	30754	450	625
101193	145781	450	625
168937	122216	450	625
429285	71425	450	625
409344	106136	450	625
359925	122479	450	625
145339	106770	450	625
50100	133655	450	625
377774	138935	450	625
350435	71912	450	625
442757	102368	450	625
132786	132147	450	625
276051	91759	450	625
254393	109978	450	625
220282	67497	450	625
364901	24061	450	625
98703	32672	450	625
339794	69965	450	625
395040	26904	450	625
451743	128809	450	625
68393	48793	450	625
70540	14609	450	625
414616	34565	450	625
429216	112967	450	625
242052	32376	450	625
257032	20634	450	625
302544	41895	450	625
130681	122973	450	625
13754	33551	450	625
414551	108714	450	625
259548	136029	450	625
17727	122177	450	625
394753	68998	450	625
189894	17618	450	625
233102	27562	450	625
221827	1220	450	625
102308	91744	450	625
100581	76549	450	625
434509	8722	450	625
437168	72086	450	625
394599	68425	450	625
10372	98720	450	625
190521	90130	450	625
403593	16252	450	625
111481	76321	450	625
45018	147607	450	625
289303	24122	450	625
314636	75081	450	625
5620	77707	450	625
101500	111900	450	625
274022	11404	450	625
104220	26255	450	625
222401	51827	450	625
457256	1735	450	625
298601	136949	450	625
439974	24525	450	625
237627	83523	450	625
39346	9725	450	625
176754	44864	450	625
239129	69612	450	625
367586	146173	450	625
244619	27566	450	625
389747	30432	450	625
447447	35693	450	625
212992	118224	450	625
198093	58039	450	625
21481	32990	450	625
405994	77407	450	625
92469	109975	450	625
443442	140596	450	625
406676	148193	450	625
190773	146328	450	625
4117	60644	450	625
178953	27048	450	625
237061	104908	450	625
54460	71324	450	625
266233	86157	450	625
389390	115405	450	625
443689	52062	450	625
157850	69358	450	625
34787	143320	450	625
250197	72193	450	625
264963	134568	450	625
300300	105757	450	625
168443	1019	450	625
312505	113145	450	625
318865	105504	450	625
325925	74959	450	625
297400	37204	450	625
89207	116286	450	625
29464	49192	450	625
245610	87222	450	625
6749	137025	450	625
58179	24216	450	625
120840	47755	450	625
234974	53404	450	625
157327	143849	450	625
254749	61415	450	625
269217	47474	450	625
343725	72286	450	625
426645	29307	450	625
119283	114687	450	625
266011	60685	450	625
196346	145589	450	625
56589	142178	450	625
204375	12278	450	625
429371	71163	450	625
403252	98997	450	625
191488	146757	450	625
14413	91305	450	625
241464	139665	450	625
53309	79616	450	625
319914	42583	450	625
363732	111256	450	625
427109	2234	450	625
133294	55532	450	625
34041	135354	450	625
269619	89230	450	625
283140	59791	450	625
448819	66206	450	625
315521	118371	450	625
11137	87369	450	625
231034	22614	450	625
308867	19400	450	625
418471	81857	450	625
320205	136160	450	625
179374	105940	450	625
165229	126713	450	625
245575	50838	450	625
194922	83210	450	625
364272	37293	450	625
175442	7490	450	625
166148	81238	450	625
283720	140965	450	625
38881	103816	450	625
374371	37028	450	625
56088	57933	450	625
205797	111647	450	625
363900	83041	450	625
273647	94548	450	625
423299	14030	450	625
112661	80450	450	625
95222	140515	450	625
208464	113122	450	625
